"","species","scientific_name","division","order","not_species_level","cat1_total","cat2_total","cat3_total","cat4_total","iucn","species_totals"
"1","Grayspot guitarfish","Acroteriobatus leucospilus","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"EN",1
"2","Whitespotted eagle ray","Aetobatus narinari","Ray/Skate","Myliobatiform",FALSE,0,2,1,0,"EN",3
"3","Spotted eagle ray","Aetobatus ocellatus","Ray/Skate","Myliobatiform",FALSE,0,2,1,0,"EN",3
"4","Duckbill eagle ray","Aetomylaeus bovinus","Ray/Skate","Myliobatiform",FALSE,0,2,0,0,"CR",2
"5","Ornate eagle ray","Aetomylaeus vespertilio","Ray/Skate","Myliobatiform",FALSE,1,0,0,0,"CR",1
"6","Pelagic thresher","Alopias pelagicus","Shark","Lamniform",FALSE,0,1,0,0,"EN",1
"7","Common thresher","Alopias vulpinus","Shark","Lamniform",FALSE,0,3,0,0,"VU",3
"8","Narrow sawfish","Anoxypristis cuspidata","Ray/Skate","Rhinopristiform",FALSE,0,2,0,0,"CR",2
"9","Smooth stingray","Bathytoshia brevicaudata","Ray/Skate","Myliobatiform",FALSE,0,0,1,0,"LC",1
"10","Brown stingray","Bathytoshia lata","Ray/Skate","Myliobatiform",FALSE,0,1,0,0,"VU",1
"11","Unknown ray sp.","Batoid sp.","Ray/Skate","noot",TRUE,0,0,1,0,"Multiple/Many",1
"12","Silvertip shark","Carcharhinus albimarginatus","Shark","Carcharhiniform",FALSE,0,2,0,0,"VU",2
"13","Grey reef shark","Carcharhinus amblyrhynchos","Shark","Carcharhiniform",FALSE,0,4,0,0,"EN",4
"14","Copper shark","Carcharhinus brachyurus","Shark","Carcharhiniform",FALSE,1,0,0,0,"VU",1
"15","Spinner shark","Carcharhinus brevipinna","Shark","Carcharhiniform",FALSE,0,3,0,0,"VU",3
"16","Silky shark","Carcharhinus falciformis","Shark","Carcharhiniform",FALSE,0,3,0,0,"VU",3
"17","Galápagos shark","Carcharhinus galapagensis","Shark","Carcharhiniform",FALSE,0,1,1,0,"LC",2
"18","Finetooth shark","Carcharhinus isodon","Shark","Carcharhiniform",FALSE,0,1,0,0,"NT",1
"19","Bull shark","Carcharhinus leucas","Shark","Carcharhiniform",FALSE,0,6,0,0,"VU",6
"20","Blacktip shark","Carcharhinus limbatus","Shark","Carcharhiniform",FALSE,0,6,1,0,"VU",7
"21","Oceanic whitetip shark","Carcharhinus longimanus","Shark","Carcharhiniform",FALSE,0,2,0,0,"CR",2
"22","Blacktip reef shark","Carcharhinus melanopterus","Shark","Carcharhiniform",FALSE,0,3,0,0,"VU",3
"23","Dusky shark","Carcharhinus obscurus","Shark","Carcharhiniform",FALSE,0,1,0,0,"EN",1
"24","Caribbean reef shark","Carcharhinus perezi","Shark","Carcharhiniform",FALSE,0,3,0,0,"EN",3
"25","Sandbar shark","Carcharhinus plumbeus","Shark","Carcharhiniform",FALSE,0,5,0,0,"EN",5
"26","Spottail shark","Carcharhinus sorrah","Shark","Carcharhiniform",FALSE,0,1,0,0,"NT",1
"27","Sand tiger shark","Carcharias taurus","Shark","Lamniform",FALSE,2,1,1,0,"CR",4
"28","White shark","Carcharodon carcharias","Shark","Lamniform",FALSE,0,2,1,0,"VU",3
"29","Gulper shark","Centrophorus granulosus","Shark","Squaliform",FALSE,0,1,0,0,"EN",1
"30","Smallfin gulper shark","Centrophorus moluccensis","Shark","Squaliform",FALSE,0,1,0,0,"VU",1
