Species,Scientific Name,Type,Order,NOT Species Level,Cat_1#,Cat1_Source,Cat_2#,Cat2_Source,Cat_3#,Cat3_Source,Cat_4#,Cat4_Source,Total,IUCN,Notes,,
Grayspot guitarfish,Acroteriobatus leucospilus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Humber et al., 2017; ",,,,,,EN,"in Humber et al., 2017 as Rhinobatos leucospilus, but appears current/correct as Acroteriobatus leucospilus",,
Whitespotted eagle ray,Aetobatus narinari,Ray/Skate,Myliobatiform,FALSE,,,2,"Blanco-Parra et al., 2022; Osgood et al., 2021",1,"Muñoz-Pérez et al., 2023",,,,EN,,,
Spotted eagle ray,Aetobatus ocellatus,Ray/Skate,Myliobatiform,FALSE,,,2,"Araujo et al., 2024; Séguigne et al., 2023",1,"Gotama et al., 2023",,,,EN,,,
Duckbill eagle ray,Aetomylaeus bovinus,Ray/Skate,Myliobatiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,CR,,,
Ornate eagle ray,Aetomylaeus vespertilio,Ray/Skate,Myliobatiform,FALSE,1,"Araujo et al., 2020a",,,,,,,,CR,,,
Pelagic thresher,Alopias pelagicus,Shark,Lamniform,FALSE,,,1,"Séguigne et al., 2023",,,,,,EN,,,
Common thresher,Alopias vulpinus,Shark,Lamniform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,VU,,,
Narrow sawfish,Anoxypristis cuspidata,Ray/Skate,Rhinopristiform,FALSE,,,2,"Bateman et al., 2024; Biskis et al., 2025",,,,,,CR,,,
Smooth stingray,Bathytoshia brevicaudata,Ray/Skate,Myliobatiform,FALSE,,,,,1,"Pirotta et al., 2022",,,,LC,,,
Brown stingray,Bathytoshia lata,Ray/Skate,Myliobatiform,FALSE,,,1,"Ćetković et al., 2024",,,,,,VU,,,
Unknown ray sp.,Batoid sp.,Ray/Skate,noot,TRUE,,,,,1,"Pirotta et al., 2022",,,,Multiple/Many,,,
Silvertip shark,Carcharhinus albimarginatus,Shark,Carcharhiniform,FALSE,,,2,"Séguigne et al., 2023; Ward-Paige et al., 2023",,,,,,VU,,,
Grey reef shark,Carcharhinus amblyrhynchos,Shark,Carcharhiniform,FALSE,,,4,"Vianna et al., 2014; Humber et al., 2017; Séguigne et al., 2023; Ward-Paige et al., 2023",,,,,,EN,,,
Copper shark,Carcharhinus brachyurus,Shark,Carcharhiniform,FALSE,1,"Cuevas et al., 2022",,,,,,,,VU,,,
Spinner shark,Carcharhinus brevipinna,Shark,Carcharhiniform,FALSE,,,3,"McCallister et al., 2025; Humber et al., 2017; De Santis et al., 2025",,,,,,VU,,,
Silky shark,Carcharhinus falciformis,Shark,Carcharhiniform,FALSE,,,3,"McCallister et al., 2025; Leurs et al., 2025; Séguigne et al., 2023",,,,,,VU,,,down the line compare with 
Galápagos shark,Carcharhinus galapagensis,Shark,Carcharhiniform,FALSE,,,1,"Séguigne et al., 2023",1,"Muñoz-Pérez et al., 2023",,,,LC,,,iucn y order x heat map
Finetooth shark,Carcharhinus isodon,Shark,Carcharhiniform,FALSE,,,1,"McCallister et al., 2025;",,,,,,NT,,,comparing with sharks overall vs wahts being studied in cit sci
Bull shark,Carcharhinus leucas,Shark,Carcharhiniform,FALSE,,,6,"McCallister et al., 2025; Vianna et al., 2014; Humber et al., 2017; Blanco-Parra et al., 2022; Séguigne et al., 2023; Ward-Paige et al., 2023",,,,,,VU,,,
Blacktip shark,Carcharhinus limbatus,Shark,Carcharhiniform,FALSE,,,6,"McCallister et al., 2025; Leurs et al., 2025; Humber et al., 2017; Blanco-Parra et al., 2022; Séguigne et al., 2023; Osgood et al., 2021",1,"Muñoz-Pérez et al., 2023",,,,VU,,,
Oceanic whitetip shark,Carcharhinus longimanus,Shark,Carcharhiniform,FALSE,,,2,"Blanco-Parra et al., 2022; Séguigne et al., 2023",,,,,,CR,,,
Blacktip reef shark,Carcharhinus melanopterus,Shark,Carcharhiniform,FALSE,,,3,"Vianna et al., 2014; Séguigne et al., 2023; Ward-Paige et al., 2023",,,,,,VU,,,
Dusky shark,Carcharhinus obscurus,Shark,Carcharhiniform,FALSE,,,1,"McCallister et al., 2025;",,,,,,EN,,2,Primarily focused on multiple chondricthyan species
Caribbean reef shark,Carcharhinus perezi,Shark,Carcharhiniform,FALSE,,,3,"McCallister et al., 2025; Leurs et al., 2025; Blanco-Parra et al., 2022",,,,,,EN,,,
Sandbar shark,Carcharhinus plumbeus,Shark,Carcharhiniform,FALSE,,,5,"McCallister et al., 2025; Bengil, 2020; Blanco-Parra et al., 2022; Ćetković et al., 2024; De Santis et al., 2025",,,,,,EN,,Study Species Category,
Spottail shark,Carcharhinus sorrah,Shark,Carcharhiniform,FALSE,,,1,"Humber et al., 2017; ",,,,,,NT,,,
Sand tiger shark,Carcharias taurus,Shark,Lamniform,FALSE,2,"Paxton et al., 2019; Price et al., 2024",1,"Humber et al., 2017; ",1,"Pirotta et al., 2022",,,,CR,,,
White shark,Carcharodon carcharias,Shark,Lamniform,FALSE,,,2,"McCallister et al., 2025; De Santis et al., 2025",1,"Pirotta et al., 2022",,,,VU,,,
Gulper shark,Centrophorus granulosus,Shark,Squaliform,FALSE,,,1,"Bengil, 2020",,,,,,EN,,,
Smallfin gulper shark,Centrophorus moluccensis,Shark,Squaliform,FALSE,,,1,"Humber et al., 2017; ",,,,,,VU,,,
Basking shark,Cetorhinus maximus,Shark,Lamniform,FALSE,1,"Witt et al., 2012;",2,"Ćetković et al., 2024; De Santis et al., 2025",,,,,,EN,,,
Grey Carpetshark,Chiloscyllium punctatum,Shark,Orectolobiform,FALSE,,,,,1,"Gotama et al., 2023",,,,NT,,,
Kitefin shark,Dalatias licha,Shark,Squaliform,FALSE,,,1,"De Santis et al., 2025",1,"Spyridopoulou et al., 2020",,,,VU,,,
Whiptail stingray spp.,Dasyatididae spp.,Ray/Skate,Myliobatiform,TRUE,,,,,,,1,"Roelfsema et al., 2016",,Multiple/Many,,,
Common stingray,Dasyatis pastinaca,Ray/Skate,Myliobatiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,VU,,,
Flapper skate,Dipturus intermedius,Ray/Skate,Rajiform,FALSE,3,"Régnier et al., 2021; Benjamins et al., 2018; Phillips et al., 2021",,,,,1,"Lavender et al., 2022",,CR,,,
Longnosed skate,Dipturus oxyrinchus,Ray/Skate,Rajiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,VU,,,
Velvet belly lanternshark,Etmopterus spinax,Shark,Squaliform,FALSE,,,1,"Ćetković et al., 2024",,,,,,VU,,,
Tiger shark,Galeocerdo cuvier,Shark,Carcharhiniform,FALSE,,,7,"McCallister et al., 2025; Leurs et al., 2025; Humber et al., 2017; Blanco-Parra et al., 2022; Séguigne et al., 2023; Ward-Paige et al., 2023; Osgood et al., 2021",,,,,,NT,,3,Mentions chondrichthyan(s) and engages with related data
Tope shark,Galeorhinus galeus,Shark,Carcharhiniform,FALSE,,,1,"Ćetković et al., 2024",,,,,,CR,,,
Blackmouth catshark,Galeus melastomus,Shark,Carcharhiniform,FALSE,,,1,"Ćetković et al., 2024",,,,,,LC,,,
Nurse shark,Ginglymostoma cirratum,Shark,Orectolobiform,FALSE,,,3,"McCallister et al., 2025; Leurs et al., 2025; Blanco-Parra et al., 2022",1,"Vieira et al., 2020",,,,VU,,,
Blackchin guitarfish,Glaucostegus cemiculus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bengil, 2020",,,,,,CR,,,
Giant guitarfish,Glaucostegus typus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bateman et al., 2024",,,,,,CR,,,
Spiny butterfly ray,Gymnura altavela,Ray/Skate,Myliobatiform,FALSE,,,1,"Bengil, 2020",,,,,,EN,,,
Snaggletooth shark,Hemipristis elongata,Shark,Carcharhiniform,FALSE,,,1,"Humber et al., 2017; ",,,,,,EN,,,
Sharpnose sevengill shark,Heptranchias perlo,Shark,Hexanchiform,FALSE,,,1,"Bengil, 2020",,,,,,NT,,,
Horn shark,Heterodontus francisci,Shark,Heterodontiform,FALSE,1,"Alvarez, 2025",,,,,,,,LC,DD -> LC,,
Galápagos bullhead shark,Heterodontus quoyi,Shark,Heterodontiform,FALSE,,,,,1,"Muñoz-Pérez et al., 2023",,,,LC,,,
Bluntnose sixgill shark,Hexanchus griseus,Shark,Hexanchiform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,NT,,,
Bigeyed sixgill shark,Hexanchus nakamurai,Shark,Hexanchiform,FALSE,,,1,"Humber et al., 2017; ",,,,,,NT,,,
